age_years,residential_status,time_at_address_months,employment_status,time_with_employer_months,gross_monthly_income_eur,net_monthly_income_eur,debt_to_income_ratio,disposable_income_eur,num_active_credit_accounts,default
31,owner_with_mortgage,29,unemployed_other,20,4283,1499,1.0311283412720196,452,1,1
49,rent_social,59,temporary_contract,26,1345,1753,0.20884822642907847,900,30,0
52,rent_social,2,self_employed,0,19225,369,1.4186921573827869,-4777,5,0
44,rent_social,7,permanent,7,3340,2029,0.20140115604256018,461,1,0
119,rent_private,16,permanent,10,1037,2570,0.31031749188815533,880,2,0
42,rent_private,1,permanent,418,4940,3158,0.06479943417756401,973,43,0
32,rent_private,12,retired,3,4277,2345,0.5148030398737065,383,3,0
24,rent_social,49,self_employed,1,2729,2581,0.2185704592503339,607,2,0
30,rent_social,11,permanent,11,1842,1393,1.3348142556155815,-4197,5,0
29,rent_private,9,unemployed_other,3,1317,1466,1.3981377818504555,845,5,1
39,living_with_family_other,14,temporary_contract,36,4442,2128,0.29534757174754933,155,3,0
61,rent_private,36,unemployed_other,18,2213,647,0.5053270714988035,610,1,0
43,rent_private,59,permanent,14,2845,2674,0.3241958226128203,64,5,0
23,rent_private,12,permanent,0,1747,1686,0.21815835882776105,1151,1,0
25,owner_with_mortgage,267,permanent,42,1950,1525,0.4649727867401138,476,3,0
30,rent_private,352,self_employed,15,3439,2712,0.41625020357686154,74,3,0
19,living_with_family_other,4,permanent,5,2764,817,0.391569038998285,-2454,4,1
44,owner_with_mortgage,136,permanent,558,2854,3035,1.4956003741008381,898,3,0
63,rent_private,4,permanent,26,2596,827,0.3740525630672309,462,1,0
32,owner_with_mortgage,49,permanent,370,10216,2871,0.3900416420753946,73,37,0
27,rent_private,6,permanent,495,2775,1251,0.032103529318782215,14065,4,0
29,rent_social,13,permanent,576,1897,1084,0.5750204123220618,421,5,0
58,owner_with_mortgage,1,temporary_contract,543,4281,1336,0.9949643817934691,12487,12,0
52,owner_with_mortgage,54,permanent,292,4731,3256,0.15459974300691492,893,7,0
29,rent_private,33,permanent,29,2613,1212,0.2838544610157818,-822,2,0
24,rent_private,8,temporary_contract,449,409,1471,0.3544278004099106,925,38,0
43,rent_social,1,permanent,394,2017,1913,0.4213842579343791,6080,8,0
60,rent_private,600,temporary_contract,2,1427,2052,0.20300878531225944,1054,6,0
78,rent_private,38,temporary_contract,39,2048,2574,0.6281819744988782,425,6,0
33,owner_no_mortgage,6,self_employed,407,3558,1559,0.4588195389438836,10086,5,0
42,owner_with_mortgage,39,temporary_contract,24,573,1406,0.05952863001770878,-3789,8,0
45,owner_with_mortgage,21,temporary_contract,6,1905,2277,0.3156465907770113,806,8,0
42,owner_with_mortgage,6,permanent,26,2164,1429,0.06796120290053069,5325,48,0
57,owner_no_mortgage,5,permanent,530,3149,1334,0.3645331757094863,309,0,0
49,rent_private,53,temporary_contract,428,14494,2331,0.5104147822055775,66,2,0
59,rent_private,55,temporary_contract,212,1919,479,0.16053960645719384,702,3,0
41,rent_private,41,permanent,23,143,984,0.3858002418390304,1151,4,0
46,rent_social,9,self_employed,6,1636,2160,0.4970477063326293,354,12,0
26,rent_private,46,permanent,0,1964,1586,0.41820408652981567,778,2,0
64,owner_with_mortgage,14,permanent,538,455,3813,0.2100819246027967,-1242,3,0
26,rent_private,8,retired,1,3368,1517,0.5828900471057494,788,1,0
24,owner_with_mortgage,7,temporary_contract,25,1582,1254,0.27672075005316654,11313,44,0
48,living_with_family_other,38,self_employed,16,4917,1417,0.39236715810281275,58,5,0
46,rent_private,111,permanent,15,2687,357,0.37416274600042804,70,32,0
18,living_with_family_other,149,retired,8,4413,1516,0.49231547392697045,482,7,0
27,owner_no_mortgage,2,temporary_contract,41,3966,3250,0.3897605926091789,805,2,0
58,rent_private,38,permanent,7,4558,1505,0.558412545379307,146,3,0
26,rent_social,10,permanent,10,1903,3298,0.3197237573444885,3568,1,0
43,owner_with_mortgage,293,permanent,48,4219,1528,0.3404312919211391,615,7,0
18,owner_with_mortgage,18,retired,3,12981,1609,0.21981994762310156,74,5,1
33,owner_with_mortgage,19,temporary_contract,9,3042,3417,0.44553196453028227,912,0,0
19,rent_private,3,permanent,20,2961,1743,0.6091267902479631,-1655,4,1
23,owner_no_mortgage,306,self_employed,31,3417,3096,1.326298213995483,9,6,0
27,rent_social,15,permanent,2,944,444,0.5299377684096617,860,3,0
