age_years,residential_status,time_at_address_months,employment_status,time_with_employer_months,gross_monthly_income_eur,net_monthly_income_eur,debt_to_income_ratio,disposable_income_eur,num_active_credit_accounts,default
42,owner_with_mortgage,283,self_employed,32,2437,2460,0.2283093663622125,796,3,0
39,owner_with_mortgage,54,permanent,11,19650,1879,1.1468536159457483,384,8,0
36,owner_with_mortgage,325,retired,600,252,2133,0.5418795804042862,9490,5,0
48,owner_with_mortgage,0,permanent,13,1192,2760,0.4628145584369399,-4603,4,0
33,owner_with_mortgage,29,permanent,5,4800,2162,0.5316609588461609,1138,2,0
64,owner_no_mortgage,8,permanent,18,2246,13520,0.4179984798159988,508,3,0
41,rent_private,14,permanent,7,1722,2573,0.4942571311677631,5702,3,0
40,owner_no_mortgage,6,permanent,3,2156,1770,0.5056036891183039,514,0,0
25,owner_with_mortgage,55,permanent,126,5113,2271,0.3229994026078607,666,3,0
39,rent_private,15,permanent,259,3054,9307,1.4947042613901955,-1174,2,0
44,owner_with_mortgage,22,temporary_contract,9,1633,1731,0.4390576129457386,679,2,0
29,rent_private,1,permanent,58,3068,1448,0.3939048489654161,844,4,0
45,rent_private,89,retired,51,165,185,0.5157268593846399,3912,8,0
20,rent_social,5,permanent,510,1944,1311,0.5689353524120453,66,9,1
19,owner_with_mortgage,47,self_employed,5,2710,63,0.3287027886449639,922,4,0
55,rent_private,4,retired,301,2111,298,0.3926302991314074,577,6,0
37,rent_private,1,permanent,44,330,1663,0.6405262008918163,19042,47,0
41,owner_with_mortgage,4,permanent,33,3366,1652,0.9829663366345972,1120,5,0
47,owner_with_mortgage,508,temporary_contract,453,1927,1860,0.4383060728856469,14040,2,0
19,owner_with_mortgage,451,self_employed,30,3147,1063,0.3601269122297968,298,7,0
28,rent_private,2,permanent,438,1437,1706,0.103467231095385,769,7,1
54,rent_private,3,permanent,19,3865,2370,0.4072094520959838,710,7,0
21,owner_with_mortgage,29,temporary_contract,557,2703,281,0.0787824997631194,228,48,0
37,rent_private,11,permanent,22,3261,1717,0.2171601786093478,3079,8,0
42,owner_no_mortgage,578,unemployed_other,11,11996,2378,0.2064895407219121,1056,0,0
37,owner_no_mortgage,548,permanent,4,2972,1458,1.1129917997986336,5420,4,0
42,owner_no_mortgage,28,self_employed,35,3923,2898,0.4831498882366473,526,1,0
47,rent_private,7,permanent,8,1954,3467,0.3943822439947782,547,4,0
55,owner_with_mortgage,31,unemployed_other,21,2129,3300,0.3873880035610871,124,0,0
94,rent_social,46,permanent,5,2362,752,0.2805099240695214,397,3,0
32,rent_private,46,permanent,58,2724,3438,0.3965811013323299,5471,2,0
19,rent_social,499,permanent,446,14727,3290,0.2948265170124673,1100,2,0
54,rent_social,592,permanent,1,4020,1461,0.2860101301124084,1159,4,0
59,rent_private,349,self_employed,11,1861,3179,0.2441141806700082,543,7,0
26,owner_with_mortgage,6,permanent,3,3269,401,0.3502935212080958,305,0,0
27,owner_with_mortgage,9,self_employed,5,1691,2389,0.4983867234714637,-208,6,0
118,rent_social,20,permanent,57,3768,1395,0.6364768715322585,15113,3,0
29,owner_no_mortgage,6,permanent,10,2647,2205,0.4043075433562265,484,7,0
36,owner_no_mortgage,8,permanent,12,2510,2489,0.191375505796506,912,2,0
41,owner_no_mortgage,476,permanent,3,322,2460,0.3476175476822053,777,5,0
20,rent_social,10,temporary_contract,0,2646,2031,0.2204562559491979,611,5,0
45,rent_social,384,temporary_contract,9,3168,1712,0.3990319035146368,4590,7,1
29,rent_social,584,permanent,7,2716,1764,0.3059936690828073,615,2,0
32,owner_with_mortgage,57,permanent,235,2302,1594,0.4936894510715225,426,4,0
34,owner_no_mortgage,6,permanent,12,2458,2436,0.2839964443868575,18179,2,0
63,owner_no_mortgage,75,permanent,327,2409,2429,0.3820043259265678,620,3,0
