variable,mutual_info,l1_coef_abs,wald_chi2,wald_df,wald_pvalue,lr_chi2,lr_df,lr_pvalue,information_value,rank_mi,rank_l1,cv_auc_mean_full_model,cv_auc_std_full_model
worst_ever_delinquency,0.018023283262731615,1.9422538940203173,6.187958269969019e-13,4,1.0,95.63986744755971,4,0.0,0.37912542112838077,1,1,0.769015731292517,0.045472519554312994
max_delinquency_last12m,0.010507690460747066,1.6182006890326324,,4,,35.839704299135065,4,3.1219420204564585e-07,0.13111959669344228,2,2,0.769015731292517,0.045472519554312994
months_since_last_delinquency,0.008844577402463027,0.42151592297020085,46.70719015764365,1,8.24262880172455e-12,47.10445397599324,1,6.7302829975801615e-12,0.22226197492252978,3,6,0.769015731292517,0.045472519554312994
num_credit_enquiries_last6m,0.0050733879838338325,0.29557824904122604,50.4490933054227,1,1.22291066162461e-12,41.60557993235216,1,1.1167411440027308e-10,0.16019592660175627,4,7,0.769015731292517,0.045472519554312994
disposable_income_eur,0.004329680152507676,0.1929542872549021,6.418656302311013,1,0.011292757482229798,7.404675486499627,1,0.006505457769609757,0.149931647192117,5,9,0.769015731292517,0.045472519554312994
credit_history_length_months,0.004270492469378384,0.17215642500895711,5.325900265744247,1,0.02101075210049197,6.047516634152771,1,0.013925869404889712,0.06509622859468206,6,14,0.769015731292517,0.045472519554312994
employment_status,0.0036531184579571274,1.3652862781165822,1.9414752933723013e-13,5,1.0,26.351679084950092,5,7.625795974863792e-05,0.08993779702079538,7,3,0.769015731292517,0.045472519554312994
time_with_employer_months,0.0035991749315171795,0.1813324466398922,6.354219999495693,1,0.011710241589418913,7.113608377150285,1,0.0076500966778200175,0.11453343435284043,8,11,0.769015731292517,0.045472519554312994
credit_utilisation_ratio,0.0028202204691325505,0.09411023512451658,2.3957756520278397,1,0.12166339157529271,2.375432587137766,1,0.12325745037930336,0.02839213483830683,9,19,0.769015731292517,0.045472519554312994
adverse_events_flag,0.0008782757152270282,0.5387319334513215,,2,,11.463736516863491,2,0.0032410165174452388,0.05148081714884182,10,5,0.769015731292517,0.045472519554312994
num_accounts_30dpd_last12m,0.0008700036811402079,0.18128161382702365,18.037545119456585,1,2.1659095795767414e-05,15.03903313241176,1,0.00010531039580674584,0.06312417139942539,11,12,0.769015731292517,0.045472519554312994
gross_monthly_income_eur,0.0007770535437414683,0.1631206455323133,4.335002292262843,1,0.03733636564632792,4.916192680299446,1,0.02660608775222073,0.05503433088157628,12,15,0.769015731292517,0.045472519554312994
age_years,0.0007123672885229748,0.2182716503272905,10.236534505202341,1,0.0013768602218835468,11.010156836931856,1,0.0009061397854739361,0.12123181375859061,13,8,0.769015731292517,0.045472519554312994
num_unsecured_loans,0.0003496489019589877,0.1787086366072737,13.326819941504276,1,0.00026163685116809,11.297771991088894,1,0.0007760015611775195,0.0853457215986089,14,13,0.769015731292517,0.045472519554312994
debt_to_income_ratio,0.00030528660266671004,0.14091779709151847,6.146883457407698,1,0.013164388521102244,5.718027328747439,1,0.016791585858671354,0.12049496899456336,15,16,0.769015731292517,0.045472519554312994
residential_status,0.0,0.5789414111488637,8.702805435064102e-14,5,1.0,5.766468936511274,5,0.32960977030399263,0.027902510996130683,16,4,0.769015731292517,0.045472519554312994
num_active_credit_accounts,0.0,0.18888486161846266,15.63822881225853,1,7.66884414797886e-05,13.1484157269781,1,0.0002877624504193932,0.09470696556796897,16,10,0.769015731292517,0.045472519554312994
total_outstanding_balance_eur,0.0,0.11772195469235777,4.749208991247157,1,0.029311765382463495,4.307918874003235,1,0.03793534300886381,0.03614700441817101,16,17,0.769015731292517,0.045472519554312994
net_monthly_income_eur,0.0,0.10748741138904176,2.0041585095423184,1,0.15686832206184087,2.3174021922529846,1,0.1279335248217227,0.06177436706075596,16,18,0.769015731292517,0.045472519554312994
time_at_address_months,0.0,0.07324085212412144,1.2713775276785857,1,0.2595084156551495,1.3183004718246139,1,0.25089729074285916,0.13230730377556219,16,20,0.769015731292517,0.045472519554312994
