feature,coefficient,hazard_ratio
num__worst_ever_delinquency,0.45524203807355196,1.5765549231749623
num__debt_to_income_ratio,0.4241564142966484,1.5283006231568026
num__months_since_last_delinquency,0.4019163187033673,1.4946862501591096
num__num_credit_enquiries_last6m,0.36563647424130463,1.4414311500472783
num__time_at_address_months,0.29054408212259675,1.3371548121739447
num__age_years,0.2784823082697762,1.3211232322334159
num__disposable_income_eur,0.2754987660669056,1.3171874794765956
num__num_active_credit_accounts,0.27254663740355567,1.3133047066058536
num__num_unsecured_loans,0.2643519060335927,1.3025865037055244
num__employment_status,0.2550271081543593,1.2904966033798568
num__credit_history_length_months,0.2550040509110582,1.2904668484287283
num__gross_monthly_income_eur,0.2490631822114602,1.2828230821085955
num__adverse_events_flag,0.2466221862465149,1.2796955348594845
num__max_delinquency_last12m,0.22761193984263892,1.2555979833284405
num__time_with_employer_months,0.19793930007097785,1.2188884051364337
num__num_accounts_30dpd_last12m,0.18630216729462673,1.2047862523841066
num__total_outstanding_balance_eur,0.17283641830519086,1.188671644257211
num__net_monthly_income_eur,0.13792081856339836,1.1478846555195605
num__credit_utilisation_ratio,0.11250466166994207,1.119077473670443
num__residential_status,0.07302071940806487,1.0757528256455695
