age_years,residential_status,time_at_address_months,employment_status,time_with_employer_months,gross_monthly_income_eur,net_monthly_income_eur,debt_to_income_ratio,disposable_income_eur,num_active_credit_accounts,total_outstanding_balance_eur,credit_utilisation_ratio,num_unsecured_loans,num_accounts_30dpd_last12m,max_delinquency_last12m,months_since_last_delinquency,worst_ever_delinquency,credit_history_length_months,num_credit_enquiries_last6m,adverse_events_flag,default
31,owner_with_mortgage,29,unemployed_other,20,4283,1499,1.0311283412720196,452,1,24237,0.48381418737114124,17,2,current,0,none,15,2,no,1
49,rent_social,59,temporary_contract,26,1345,1753,0.20884822642907847,900,30,5511,0.49760595995440987,14,0,current,5,none,94,0,no,0
52,rent_social,2,self_employed,0,19225,369,1.4186921573827869,-4777,5,15024,0.08089704781412685,5,0,current,15,90dpd_plus,3,3,yes,1
44,rent_social,7,permanent,7,3340,2029,0.20140115604256018,461,1,9052,0.2406518300138836,19,0,current,240,none,1,0,no,0
119,rent_private,16,permanent,10,1037,2570,0.31031749188815533,880,2,8661,0.23569242919087494,3,1,30dpd,240,60dpd,16,1,yes,0
42,rent_private,1,permanent,418,4940,3158,0.06479943417756401,973,43,8858,0.47655078880912555,7,1,60dpd,10,90dpd_plus,102,19,no,1
32,rent_private,12,retired,3,4277,2345,0.5148030398737065,383,3,8702,1.2178301313460875,1,0,current,204,60dpd,34,3,no,0
24,rent_social,49,self_employed,1,2729,2581,0.2185704592503339,607,2,2744,0.0714349228125787,0,0,60dpd,10,none,58,2,yes,0
30,rent_social,11,permanent,11,1842,1393,1.3348142556155815,-4197,5,759,0.026938509468360957,1,0,30dpd,240,none,7,14,yes,1
29,rent_private,9,unemployed_other,3,1317,1466,1.3981377818504555,845,5,3937,0.3780867751690731,0,0,30dpd,20,90dpd_plus,75,0,no,0
39,living_with_family_other,14,temporary_contract,36,4442,2128,0.29534757174754933,155,3,1611,0.6490946384022434,2,0,current,240,90dpd_plus,0,2,yes,0
61,rent_private,36,unemployed_other,18,2213,647,0.5053270714988035,610,1,611,0.6044952398929225,2,1,current,11,60dpd,141,10,no,0
43,rent_private,59,permanent,14,2845,2674,0.3241958226128203,64,5,246,0.09691173609867619,4,0,30dpd,5,60dpd,9,0,no,0
23,rent_private,12,permanent,0,1747,1686,0.21815835882776105,1151,1,2246,0.6500330270362835,2,1,current,240,60dpd,76,1,yes,0
25,owner_with_mortgage,267,permanent,42,1950,1525,0.4649727867401138,476,3,17543,0.4074349254862422,0,0,90dpd_plus,22,90dpd_plus,13,1,yes,0
30,rent_private,352,self_employed,15,3439,2712,0.41625020357686154,74,3,16677,0.7776998781353445,1,9,current,240,60dpd,2,18,no,0
19,living_with_family_other,4,permanent,5,2764,817,0.391569038998285,-2454,4,3062,0.45142438144436575,1,1,current,6,60dpd,5,0,no,1
44,owner_with_mortgage,136,permanent,558,2854,3035,1.4956003741008381,898,3,7444,0.3260315796719807,3,1,current,240,none,161,2,no,0
63,rent_private,4,permanent,26,2596,827,0.3740525630672309,462,1,17686,0.7399491533453229,2,0,current,240,90dpd_plus,66,1,no,0
32,owner_with_mortgage,49,permanent,370,10216,2871,0.3900416420753946,73,37,166676,0.92430792292973,3,0,current,8,60dpd,90,16,no,0
27,rent_private,6,permanent,495,2775,1251,0.032103529318782215,14065,4,2301,1.3829209445169464,1,0,current,6,none,51,15,yes,0
29,rent_social,13,permanent,576,1897,1084,0.5750204123220618,421,5,2900,0.5698008443819251,3,0,60dpd,4,90dpd_plus,23,14,no,1
58,owner_with_mortgage,1,temporary_contract,543,4281,1336,0.9949643817934691,12487,12,776,0.5407227226629703,1,0,30dpd,240,none,27,5,no,0
52,owner_with_mortgage,54,permanent,292,4731,3256,0.15459974300691492,893,7,2407,0.47501032965546,4,0,current,20,none,552,2,yes,0
29,rent_private,33,permanent,29,2613,1212,0.2838544610157818,-822,2,16580,0.6424106017776923,0,19,current,19,90dpd_plus,29,1,no,0
24,rent_private,8,temporary_contract,449,409,1471,0.3544278004099106,925,38,3700,0.4225884802073944,2,1,current,67,90dpd_plus,36,0,no,1
43,rent_social,1,permanent,394,2017,1913,0.4213842579343791,6080,8,7831,0.528445078891163,18,0,current,240,none,364,2,no,0
60,rent_private,600,temporary_contract,2,1427,2052,0.20300878531225944,1054,6,2911,0.5074964923765231,1,1,90dpd_plus,7,none,50,16,no,0
78,rent_private,38,temporary_contract,39,2048,2574,0.6281819744988782,425,6,172983,0.5291142608726458,2,0,current,11,60dpd,110,0,no,0
33,owner_no_mortgage,6,self_employed,407,3558,1559,0.4588195389438836,10086,5,13898,1.0837502575970457,2,0,60dpd,240,none,13,6,no,0
42,owner_with_mortgage,39,temporary_contract,24,573,1406,0.05952863001770878,-3789,8,1600,0.8035181176854577,0,1,current,240,90dpd_plus,9,2,yes,0
45,owner_with_mortgage,21,temporary_contract,6,1905,2277,0.3156465907770113,806,8,18905,0.5919347191964963,1,20,30dpd,4,none,549,2,yes,1
42,owner_with_mortgage,6,permanent,26,2164,1429,0.06796120290053069,5325,48,1953,0.38428406188183345,0,0,30dpd,240,none,16,2,no,0
57,owner_no_mortgage,5,permanent,530,3149,1334,0.3645331757094863,309,0,3621,0.4927060225674194,0,0,current,240,90dpd_plus,51,10,no,0
49,rent_private,53,temporary_contract,428,14494,2331,0.5104147822055775,66,2,9027,0.719163469472636,0,0,current,6,none,82,11,yes,0
59,rent_private,55,temporary_contract,212,1919,479,0.16053960645719384,702,3,17416,0.308182305027982,1,2,current,178,90dpd_plus,306,17,yes,0
41,rent_private,41,permanent,23,143,984,0.3858002418390304,1151,4,8225,0.46711402213222103,0,0,current,240,60dpd,5,2,yes,0
46,rent_social,9,self_employed,6,1636,2160,0.4970477063326293,354,12,1821,0.06812823995771233,3,0,current,240,90dpd_plus,41,1,no,0
26,rent_private,46,permanent,0,1964,1586,0.41820408652981567,778,2,185322,1.183601357846303,0,1,current,5,none,38,12,no,0
64,owner_with_mortgage,14,permanent,538,455,3813,0.2100819246027967,-1242,3,1363,0.4523418315502745,1,0,current,8,60dpd,54,3,no,0
26,rent_private,8,retired,1,3368,1517,0.5828900471057494,788,1,104058,0.45751030933383313,2,6,90dpd_plus,0,none,1,1,no,0
24,owner_with_mortgage,7,temporary_contract,25,1582,1254,0.27672075005316654,11313,44,17429,0.7326674851425194,2,2,90dpd_plus,130,none,39,0,yes,1
48,living_with_family_other,38,self_employed,16,4917,1417,0.39236715810281275,58,5,1681,0.7520169541194813,0,0,30dpd,2,none,63,1,yes,0
46,rent_private,111,permanent,15,2687,357,0.37416274600042804,70,32,134692,0.35222204859635486,1,0,current,240,90dpd_plus,8,0,yes,0
18,living_with_family_other,149,retired,8,4413,1516,0.49231547392697045,482,7,7478,0.12907155892193276,1,1,30dpd,59,30dpd,6,1,no,1
27,owner_no_mortgage,2,temporary_contract,41,3966,3250,0.3897605926091789,805,2,1736,0.6426247630540309,3,0,current,2,none,19,0,no,1
58,rent_private,38,permanent,7,4558,1505,0.558412545379307,146,3,2652,0.7972479499823814,0,14,30dpd,5,60dpd,9,1,no,0
26,rent_social,10,permanent,10,1903,3298,0.3197237573444885,3568,1,167905,0.5619912371725642,3,0,60dpd,194,90dpd_plus,60,18,yes,1
43,owner_with_mortgage,293,permanent,48,4219,1528,0.3404312919211391,615,7,3434,0.5620245758473218,9,0,current,216,none,217,2,no,0
18,owner_with_mortgage,18,retired,3,12981,1609,0.21981994762310156,74,5,15762,0.21738176364558642,2,1,current,1,none,8,3,no,0
33,owner_with_mortgage,19,temporary_contract,9,3042,3417,0.44553196453028227,912,0,2475,0.5177845661299896,14,0,current,4,none,104,0,yes,0
19,rent_private,3,permanent,20,2961,1743,0.6091267902479631,-1655,4,5875,0.3214231478533324,3,0,60dpd,85,60dpd,7,14,no,1
23,owner_no_mortgage,306,self_employed,31,3417,3096,1.326298213995483,9,6,13370,0.623824708193209,0,0,30dpd,1,30dpd,34,0,no,0
27,rent_social,15,permanent,2,944,444,0.5299377684096617,860,3,2029,0.5688200458278398,2,0,60dpd,10,60dpd,69,1,no,1
28,living_with_family_other,312,unemployed_other,7,12201,1943,0.9605186748995613,537,1,4626,0.6998213287083781,1,0,30dpd,3,none,28,0,no,0
51,rent_private,11,temporary_contract,22,4839,1781,0.45183169226562964,-3783,2,2133,0.3228341863555498,3,1,current,240,30dpd,66,2,yes,0
46,rent_private,44,permanent,11,3003,3413,0.4998938166435073,18800,2,84794,1.0471914363048307,3,0,current,2,60dpd,15,0,no,0
39,living_with_family_other,203,temporary_contract,14,2377,1724,0.5568062399974129,1089,3,2388,0.38204453771792624,4,1,30dpd,10,none,42,2,no,0
69,rent_private,3,permanent,54,3454,13574,0.270644736539052,339,6,63158,0.45950652819871146,1,1,current,240,90dpd_plus,25,1,no,0
40,owner_with_mortgage,11,permanent,6,3858,1436,0.26624243917132107,-1425,5,15155,0.16366160185036183,3,1,current,11,none,69,2,no,1
49,owner_with_mortgage,11,unemployed_other,16,1597,1774,0.06668162361910746,843,2,13588,0.3251674549593324,15,0,30dpd,11,90dpd_plus,92,3,no,0
57,owner_with_mortgage,17,unemployed_other,11,2602,501,0.5525807105869819,1087,2,3568,0.4484633931746617,19,1,current,240,none,110,1,no,0
27,rent_social,182,temporary_contract,17,4695,557,0.6534333571794786,877,8,138696,0.7005025779810614,2,0,current,14,60dpd,130,3,no,0
33,rent_private,57,temporary_contract,10,1820,1298,0.42638522867163586,700,3,7429,0.48517073686941303,0,0,current,11,30dpd,38,0,no,0
22,rent_private,17,permanent,0,3850,1682,0.4245471789717671,370,3,17086,0.7031417664321141,3,0,current,7,90dpd_plus,86,0,no,0
31,owner_no_mortgage,26,permanent,10,9669,618,0.3610941598205359,320,1,160016,0.7954202884416925,3,0,current,235,90dpd_plus,98,2,yes,0
48,rent_private,206,temporary_contract,11,1415,836,0.5470468759331762,16,3,6150,1.4227160506302563,3,0,30dpd,240,none,4,1,no,0
29,owner_with_mortgage,22,permanent,8,4056,1976,0.46884615252405015,743,1,14525,0.5205774196886516,2,0,30dpd,240,90dpd_plus,45,1,yes,0
32,owner_with_mortgage,23,permanent,27,1336,1546,0.3523741725598139,289,7,61658,0.041697845252422476,3,6,current,9,none,71,3,no,0
25,rent_private,9,permanent,12,2205,1622,0.5691138613544827,9376,5,1497,1.3713064464374503,3,0,30dpd,10,60dpd,30,1,no,0
54,owner_no_mortgage,7,permanent,28,3911,1281,0.5591528466870529,682,17,3629,1.2251604026449692,14,0,current,240,90dpd_plus,32,1,no,1
60,owner_with_mortgage,13,self_employed,8,3911,1500,0.5456003599739325,1078,3,8167,0.2823167693511447,1,0,current,6,60dpd,61,1,no,0
52,rent_private,323,self_employed,8,2755,1683,0.4579221410417884,330,4,2597,0.46859693059486435,1,0,current,38,60dpd,2,1,no,0
31,owner_no_mortgage,9,temporary_contract,18,1908,3962,0.9979832992057442,693,3,12337,0.07979572807888703,2,0,current,44,none,113,1,no,0
28,rent_social,7,permanent,58,1475,139,0.24608307258061057,277,2,9996,0.3267406727138888,2,0,60dpd,1,90dpd_plus,33,14,yes,1
